,dataset,parameter,time
0,LNet-apsp,1.0,2.585129305
1,LNet-apsp,3.0,2.33702905
2,LNet-apsp,5.0,2.201673637
3,LNet-apsp,7.0,2.034391971
4,LNet-apsp,9.0,2.002282261
5,LNet-apsp,11.0,2.0978565655
6,LNet-apsp,13.0,1.961850418
7,LNet-apsp,15.0,1.915048679
8,LNet-apsp,17.0,1.8658464135
9,LNet-apsp,19.0,1.9403360615
10,LNet-apsp,21.0,1.887294981
11,LNet-apsp,23.0,1.8591366985
12,LNet-apsp,25.0,1.8484375845
13,LNet-apsp,27.0,1.830629373
14,LNet-apsp,29.0,1.839972972
15,LNet-apsp,31.0,1.8175530545
16,LNet-apsp,33.0,1.800993468
17,LNet-apsp,35.0,1.786783725
18,LNet-apsp,37.0,1.8008299905
19,LNet-apsp,39.0,1.8144092375
20,LNet-apsp,41.0,1.7843725245
21,LNet-apsp,43.0,1.8058931435
22,LNet-apsp,45.0,1.7766855525
23,LNet-apsp,47.0,1.7370998535
24,LNet-apsp,49.0,1.82842268
25,LNet-apsp,51.0,1.7374639615
26,LNet-apsp,53.0,1.762450283
27,LNet-apsp,55.0,1.7629194735
28,LNet-apsp,57.0,1.793392142
29,LNet-apsp,59.0,1.750968531
30,LNet-apsp,61.0,1.754110223
31,LNet-apsp,63.0,1.732614102
32,LNet-apsp,65.0,1.710240949
33,LNet-apsp,67.0,1.702254855
34,LNet-apsp,69.0,1.680150659
35,LNet-apsp,71.0,1.737827163
36,LNet-apsp,73.0,1.731743748
37,LNet-apsp,75.0,1.726050384
38,LNet-apsp,77.0,1.7850222155
39,LNet-apsp,79.0,1.726601051
40,LNet-apsp,81.0,1.689836846
41,LNet-apsp,83.0,1.748335041
42,LNet-apsp,85.0,1.7428340125
43,LNet-apsp,87.0,1.7282112285
44,LNet-apsp,89.0,1.69392958
45,LNet-apsp,91.0,1.69774807
46,LNet-apsp,93.0,1.7281462925
47,LNet-apsp,95.0,1.687039407
48,LNet-apsp,97.0,1.651960916
49,LNet-apsp,99.0,1.6564623365
50,LNet-apsp,11650.0,1.0626393135
51,LNet-apsp,23201.0,1.028381007
52,LNet-apsp,34752.0,1.0159844975
53,LNet-apsp,46303.0,0.9895550025
54,LNet-apsp,57854.0,1.028842509
55,LNet-apsp,69405.0,1.004570138
56,LNet-apsp,80956.0,1.0194205745
57,LNet-apsp,92507.0,1.0212133495
58,LNet-apsp,104058.0,0.9859321035
59,LNet-apsp,115609.0,0.986413594
60,LNet-apsp,127160.0,1.0057532605
61,LNet-apsp,138711.0,0.984297726
62,LNet-apsp,150262.0,0.9672621825
63,LNet-apsp,161813.0,0.9797565685
64,LNet-apsp,173364.0,0.9939253875
65,LNet-apsp,184915.0,0.953506253
66,LNet-apsp,196466.0,0.9676629825
67,LNet-apsp,208017.0,0.99738594
68,LNet-apsp,219568.0,1.0030347745
69,LNet-apsp,231119.0,0.979255737
70,LNet-apsp,242670.0,1.005843872
71,LNet-apsp,254221.0,0.9877649415
72,LNet-apsp,265772.0,1.0063835165
73,LNet-apsp,277323.0,0.989068579
74,LNet-apsp,288874.0,0.9861451305
75,LNet-apsp,300425.0,1.0057251635
76,LNet-apsp,311976.0,0.9890080015
77,LNet-apsp,323527.0,1.0032862385
78,LNet-apsp,335078.0,1.019014002
79,LNet-apsp,346629.0,1.0387907805
80,LNet-apsp,358180.0,1.0109350915
81,LNet-apsp,369731.0,0.9913804615
82,LNet-apsp,381282.0,1.036853549
83,LNet-apsp,392833.0,1.0120495315
84,LNet-apsp,404384.0,0.9859007125
85,LNet-apsp,415935.0,1.0282254875
86,LNet-apsp,427486.0,1.0228777915
87,LNet-apsp,439037.0,1.016052486
88,LNet-apsp,450588.0,0.978394231
89,LNet-apsp,462139.0,1.0093017815
90,LNet-apsp,473690.0,0.973198224
91,LNet-apsp,485241.0,0.997002425
92,LNet-apsp,496792.0,1.03558169
93,LNet-apsp,508343.0,1.010820923
94,LNet-apsp,519894.0,1.021480781
